location,date,total_cases,total_deaths,death_percentage
United States,2021-02-13,27644880,486579,1.7601053070224939
United States,2021-02-14,27709901,487740,1.7601650760138046
United States,2021-02-15,27764087,488698,1.7601803365621207
United States,2021-02-16,27826806,490446,1.7624947685336221
United States,2021-02-17,27896924,492851,1.7666858181210228
United States,2021-02-18,27966848,495370,1.7712757619306974
United States,2021-02-19,28046145,498001,1.7756486675798049
United States,2021-02-20,28117670,499819,1.7775975036338358
United States,2021-02-21,28174750,501066,1.778422168785881
United States,2021-02-22,28230970,502389,1.7795669082571373
United States,2021-02-23,28303233,504663,1.7830577870733
United States,2021-02-24,28377965,507841,1.7895610203198151
United States,2021-02-25,28455466,510287,1.7932828792893429
United States,2021-02-26,28532812,512355,1.7956694909706059
United States,2021-02-27,28597387,513870,1.7969124242015539
United States,2021-02-28,28648744,514964,1.797509866401124
United States,2021-03-01,28706973,516483,1.7991552087362188
United States,2021-03-02,28764033,518433,1.8023654749666016
United States,2021-03-03,28831226,520924,1.8068048857859877
United States,2021-03-04,28899277,522862,1.8092563353747568
United States,2021-03-05,28965728,524647,1.8112681303918892
United States,2021-03-06,29023931,526153,1.8128247341822854
United States,2021-03-07,29064938,526851,1.8126685837072836
United States,2021-03-08,29109974,527591,1.8124062907098442
United States,2021-03-09,29167616,529398,1.8150197808418762
United States,2021-03-10,29225536,530969,1.816798158979873
United States,2021-03-11,29288010,532536,1.8182730748862761
United States,2021-03-12,29349533,534106,1.8198108978429062
United States,2021-03-13,29402465,535102,1.8199222412134495
United States,2021-03-14,29440686,535682,1.819529612862961
United States,2021-03-15,29497352,536438,1.8185971405162062
United States,2021-03-16,29551309,537615,1.8192595123282018
United States,2021-03-17,29610445,538847,1.8197869028986224
United States,2021-03-18,29670983,540511,1.8216821464930908
United States,2021-03-19,29732612,541658,1.8217639270979624
United States,2021-03-20,29787986,542400,1.8208683191941879
United States,2021-03-21,29821754,542839,1.8202785791875287
United States,2021-03-22,29873347,543558,1.8195416804149867
United States,2021-03-23,29926950,544434,1.8192097758040828
United States,2021-03-24,30013910,545946,1.818976601182585
United States,2021-03-25,30081375,547356,1.8195843773763667
United States,2021-03-26,30158696,548507,1.8187357967997024
United States,2021-03-27,30221396,549294,1.8175666008281022
United States,2021-03-28,30264493,549816,1.8167031577234749
United States,2021-03-29,30333922,550525,1.8148823617335073
United States,2021-03-30,30395171,551407,1.8141269874744248
United States,2021-03-31,30462210,552495,1.8137062281430008
United States,2021-04-01,30541255,553570,1.8125319342639981
United States,2021-04-02,30611086,554520,1.811500578581237
United States,2021-04-03,30674153,555254,1.8101689719028264
United States,2021-04-04,30709125,555543,1.8090486134007402
United States,2021-04-05,30786804,556056,1.8061504532916117
United States,2021-04-06,30847348,556910,1.8053739984390231
United States,2021-04-07,30922386,559496,1.8093558498364259
United States,2021-04-08,31002264,560508,1.8079582833047292
United States,2021-04-09,31084962,561388,1.8059793671293536
United States,2021-04-10,31151497,562101,1.8044108763055595
United States,2021-04-11,31197877,562390,1.8026547126908667
United States,2021-04-12,31268107,562861,1.8001121718049642
United States,2021-04-13,31345985,563688,1.7982781526884544
United States,2021-04-14,31421360,564646,1.797013241947516
United States,2021-04-15,31495649,565539,1.7956099269457824
United States,2021-04-16,31575640,566405,1.7938037043746382
United States,2021-04-17,31628013,567086,1.7929864895401426
United States,2021-04-18,31670031,567404,1.7916117606578914
United States,2021-04-19,31737964,567886,1.78929562085331
United States,2021-04-20,31799237,568711,1.7884422824358963
United States,2021-04-21,31862094,569555,1.7875629894256166
United States,2021-04-22,31929351,570499,1.7867541372826528
United States,2021-04-23,31991750,571263,1.7856572397571249
United States,2021-04-24,32045113,571987,1.7849429958321572
United States,2021-04-25,32077178,572266,1.7840285077446651
United States,2021-04-26,32124869,572740,1.7828555191929343
United States,2021-04-27,32175725,573381,1.7820297755528429
United States,2021-04-28,32230850,574340,1.7819573483169076
United States,2021-04-29,32289049,575194,1.781390340731311
United States,2021-04-30,32346971,576232,1.7814094556179618
